ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,75°F or below,114464030397126290993671074277851769299960781603679260933527562345054619960075,,,0.006,60.5,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,76-77°F,113265882243041053249788020344647355480258288174725621312425078025562070271246,0.002,410,0.017,25.02,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,78-79°F,24803772880616540454217078744045149479946735834366855183666881068145776348868,0.011,26,0.019,15,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,80-81°F,30181800957867902924793460291230863855259490020672641303107278377287945249928,0.03,197.63,0.06,47.31,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,82-83°F,2942533922294082594364528302800273140293334813544619095226442070604278728251,0.09,38.33,0.11,7.28,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,84-85°F,99083004407165130558288700755565370899884639987921895383987857289756355409557,0.37,8,0.39,12.13,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,86-87°F,108151064729212017337468351314516280113084599699244339364861784492143664805834,0.29,23,0.3,5.06,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,88-89°F,20503298618911467123503944106779561326461542916206165850887610065217145376332,0.11,62.27,0.16,10.06,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,90-91°F,100477728986860804047379147296562016467504005615621994752190839368188680673539,0.021,66.4,0.049,15,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,92-93°F,68215975305776795346456106989107133201990538257078311491652480323861652497037,0.002,10,0.007,48.99,2026-09-03T06:00:58.360685+00:00
New york,highest,J+0,2026-09-03,highest-temperature-in-nyc-on-september-3-2026,94°F or higher,97916361585045504781392809026844920487192191937217408265126958890350602979905,,,0.002,79.98,2026-09-03T06:00:58.360685+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,80-81°F,76424044971572179883456239000153871521388222191507062571762996244037562019287,0.03,239,0.07,131.9,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,82-83°F,109395238306293579957320797591138385799330231753631134315394435219465253909696,0.15,5,0.18,76.64,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,84-85°F,23704037847940457823732218670000284412456548942714762464689935394042363237542,0.4,67.15,0.41,93.65,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,73°F or below,46032033476973917095457215081603264141481234279964531159658098031646692816415,0.002,5,0.01,445.1,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,74-75°F,26428930938030729810246779864587281068444526360080108054765413781271843866760,0.002,5,0.015,20,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,76-77°F,41539127806300910490200981724741850851704946437603764577490788203217349878494,0.005,69.08,0.019,20,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,78-79°F,76138834630831778276842800653129161338456893548661721989646383807725767223589,0.03,10,0.04,51.24,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,86-87°F,34592374099300040181288275177494564201722370978859374865775626392012862852201,0.25,183.97,0.29,184.34,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,88-89°F,105754879937174875951355228011627298150375118056464277929847768652954578653907,0.04,5,0.05,92.93,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,90-91°F,54890664905347734966668873485095633273099492488019486123844500094481750180843,0.01,405,0.02,105,2026-09-03T06:01:00.752795+00:00
New york,highest,J+1,2026-09-04,highest-temperature-in-nyc-on-september-4-2026,92°F or higher,102887448295776237164164792308596560787106590386417108474559570717183385031270,0.007,47,0.019,80.5,2026-09-03T06:01:00.752795+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,63°F or below,95886868377519521304786766610655073378194921511293220795407034487068234490675,0.004,10,0.009,13,2026-09-03T06:01:03.001821+00:00
New york,lowest,J+0,2026-09-03,lowest-temperature-in-nyc-on-september-3-2026,64-65°F,71786947214783233322884890438444348250973011217631988798241426339601728034217,0.02,41.4,0.04,32.85,2026-09-03T06:01:03.001821+00:00
